=== 전체 행 (col0 ~ col19) ===
행5: ['01  천연물소재 전주기 표준화 허브 구축 사업', '', '', 1, 3063456977, 3063456977, 3156202307, 3156202307, 531706931, 531706931, 6751366215, 6751366215, '', '01', '', '', '', 1, '', None]
행6: ['0101  ◇공통', '', '', 1, 0, 0, 0, 0, 129922791, 129922791, 129922791, 129922791, '', '0101', '', '01', '', 2, '', None]
행7: ['010101  공통 가설 공사', '', '', 1, 0, 0, 0, 0, 129922791, 129922791, 129922791, 129922791, '', '010101', '', '0101', '', 3, '', None]
행8: ['0102  ◇A동', '', '', 1, 2901126922, 2901126922, 3030295325, 3030295325, 382603938, 382603938, 6314026185, 6314026185, '', '0102', '', '01', '', 2, '', None]
행9: ['010201  가  설  공  사', '', '', 1, 100733123, 100733123, 700882634, 700882634, 32924934, 32924934, 834540691, 834540691, '', '010201', '', '0102', '', 3, '', None]
행10: ['010202  토 및 지정공사', '', '', 1, 593972028, 593972028, 238404940, 238404940, 124023509, 124023509, 956400477, 956400477, '', '010202', '', '0102', '', 3, '', None]
행11: ['010203  철근콘크리트공사', '', '', 1, 305603426, 305603426, 1074950003, 1074950003, 38607994, 38607994, 1419161423, 1419161423, '', '010203', '', '0102', '', 3, '', None]
행12: ['010204  조  적  공  사', '', '', 1, 3752687, 3752687, 16293085, 16293085, 2862, 2862, 20048634, 20048634, '', '010204', '', '0102', '', 3, '', None]
행13: ['010205  돌    공    사', '', '', 1, 12045234, 12045234, 16098717, 16098717, 0, 0, 28143951, 28143951, '', '010205', '', '0102', '', 3, '', None]
행14: ['010206  타  일  공  사', '', '', 1, 9918327, 9918327, 18889035, 18889035, 0, 0, 28807362, 28807362, '', '010206', '', '0102', '', 3, '', None]
행15: ['010207  목공사및수장공사', '', '', 1, 235527504, 235527504, 128099558, 128099558, 26308, 26308, 363653370, 363653370, '', '010207', '', '0102', '', 3, '', None]
행16: ['010208  방  수  공  사', '', '', 1, 21234046, 21234046, 100388618, 100388618, 208300, 208300, 121830964, 121830964, '', '010208', '', '0102', '', 3, '', None]
행17: ['010209  지붕 및 홈통공사', '', '', 1, 9840539, 9840539, 4409530, 4409530, 1246, 1246, 14251315, 14251315, '', '010209', '', '0102', '', 3, '', None]
행18: ['010210  금  속  공  사', '', '', 1, 166561159, 166561159, 73088236, 73088236, 3344637, 3344637, 242994032, 242994032, '', '010210', '', '0102', '', 3, '', None]
행19: ['010211  미  장  공  사', '', '', 1, 65858043, 65858043, 53322955, 53322955, 3198, 3198, 119184196, 119184196, '', '010211', '', '0102', '', 3, '', None]
